Week no.,WK 42,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,,,
,,,,,,,13/07/19,,14/07/19,,15/07/19,,16/07/19,,17/07/19,,18/07/19,,19/07/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,13/07/19,14/07/19,15/07/19,16/07/19,17/07/19,18/07/19,19/07/19,,19/07/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,13/07/19,14/07/19,15/07/19,16/07/19,17/07/19,18/07/19,19/07/19,Total,,,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,,
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,chicken change,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7798199,21970,Sainsbury's,TTD New Yorker s/w Grab Bag x4,Sainsbury's,P+3,Alternative,802,1028,1888,1672,1604,1600,1579,1592,1529,1400,1130,1148,1184,1208,,,,9752,9648,9632,2412,1028,1672,1600,1592,1400,1148,1208,,1208,,,,,MISSING,MISSING,,4,257,418,400,398,350,287,302,2412,OK,,21970
7798186,21972,Sainsbury's,TTD Ham & Cheese s/w Grab Bag x4,Sainsbury's,P+2,Alternative,2499,2800,4307,3448,3213,3468,4288,3584,2877,3352,3398,2896,1936,2576,,,,22160,22124,22234,5531,2800,3448,3468,3584,3352,2896,2576,,2576,,,,,MISSING,MISSING,,4,700,862,867,896,838,724,644,5531,OK,,21972
7799439,21978,Sainsbury's,JS Sandwich Platter (On Shelf with Sleeve) x1,Sainsbury's,P+2,Alternative,12,17,69,50,15,21,64,48,16,20,64,49,12,19,,,,247,224,267,224,17,50,21,48,20,49,19,,19,,,,,MISSING,MISSING,,1,17,50,21,48,20,49,19,224,OK,,21978
7804901,22060,Sainsbury's,JS Spinach & Egg Pot x 4,Sainsbury's,P+6,Alternative,1147,1228,3689,3352,2554,2236,2163,2168,2176,2184,1588,1776,928,1396,,,,14004,14340,13104,3585,1228,3352,2236,2168,2184,1776,1396,,1396,,,,,MISSING,MISSING,,4,307,838,559,542,546,444,349,3585,OK,,22060
7798851,22311,Sainsbury's,JS Chicken Salad Skillet x 6,Sainsbury's,P+3,Skillet,3950,4596,8754,8196,7403,7014,7529,7194,7610,6810,6029,6186,4763,5298,,,,45006,45294,45325,7549,4596,8196,7014,7194,6810,6186,5298,,5298,,,,,MISSING,MISSING,,6,766,1366,1169,1199,1135,1031,883,7549,OK,,22311
7798864,22312,Sainsbury's,JS Chicken & Maple Cured Bacon Skillet x 6,Sainsbury's,P+3,Skillet,3043,3354,5975,5874,5223,4902,5525,5562,5368,4776,4127,4272,3818,4170,,,,33744,32910,33500,5485,3354,5874,4902,5562,4776,4272,4170,,4170,,,,,MISSING,MISSING,,6,559,979,817,927,796,712,695,5485,OK,,22312
7847033,22468,Sainsbury's,"JS Brie, Bacon & Chilli Chutney Skillet x4",Sainsbury's,P+2,Alternative,2100,1904,3456,3388,3125,2768,3184,3064,3037,2912,2461,2508,1596,1800,,,,18748,18344,18386,4586,1904,3388,2768,3064,2912,2508,1800,,1800,,,,,MISSING,MISSING,,4,476,847,692,766,728,627,450,4586,OK,,22468
7849630,22469,Sainsbury's,"JS Avocado, Tomato & Basil Skillet x4",Sainsbury's,P+2,Alternative,1898,1724,3227,3208,2919,2840,2957,2992,2881,2776,2213,2440,1474,1656,,,,17144,17636,17612,4409,1724,3208,2840,2992,2776,2440,1656,,1656,,,,,MISSING,MISSING,,4,431,802,710,748,694,610,414,4409,OK,,22469
7847035,22472,Sainsbury's,JS Chicken Fajita Triple Wrap x4,Sainsbury's,P+2,wrap,1823,1640,2488,2468,2327,2260,2516,2516,2041,2160,1861,1960,1235,1424,,,,14568,14428,14727,3607,1640,2468,2260,2516,2160,1960,1424,,1424,,,,,MISSING,MISSING,,4,410,617,565,629,540,490,356,3607,OK,,22472
7899159,23314,Sainsbury's,JS Spicy Pulled Jackfruit Wrap x4,Sainsbury's,P+3,wrap,613,556,1356,1288,1243,1108,1218,1100,1159,976,853,888,865,964,,,,7312,6880,7599,1720,556,1288,1108,1100,976,888,964,,964,,,,,MISSING,MISSING,,4,139,322,277,275,244,222,241,1720,OK,,23314
