,0,sku #,Customer,Sku Name,Date,Forecast,Actual
121,,27331,Sainsbury's,JS Indian Inspired Chickpea Flatbread,11/12/2021,,
122,,27332,Sainsbury's,JS Middle Eastern Lamb Kofta Flatbread  ,11/12/2021,,
123,,28100,Sainsbury's,JS Hell's Spicy Chicken Roll,11/12/2021,,
124,7980037,24649,Sainsbury's,JS Ham Hock & Mature Cheddar Grab Bag,11/12/2021,,
125,,23955,Sainsbury's,JS Seafood Platter x1,11/12/2021,,
126,7972085,24770,Sainsbury's,JS Party Sandwich Platter,11/12/2021,,
127,7972091,24480,Sainsbury's,JS Premium Sandwich Platter,11/12/2021,,
128,3277,22186,Sainsbury's PFS,JS DTS Southern Fried Chicken Wrap x 1,11/12/2021,,
129,3278,22187,Sainsbury's PFS,"JS DTS Ham & Egg Sub Roll 10"" x 1",11/12/2021,,
130,3292,23990,Sainsbury's PFS,JS DTS Chicken Salad Skillet x 1,11/12/2021,,
131,3294,23992,Sainsbury's PFS,JS DTS Seafood Cocktail Skillet x 1,11/12/2021,,
132,7799572,23686,Sainsbury's,JS Seafood Cocktail Skillet x 8,11/12/2021,,
133,,27781,Sainsbury's Café,JS CAFE Bacon Bap x 4          ,11/12/2021,,1832
134,,27782,Sainsbury's Café,JS CAFE Sausage Bap x 4,11/12/2021,,1492
135,,27783,Sainsbury's Café,JS CAFE Egg Florentine x 4,11/12/2021,,568
136,,27784,Sainsbury's Café,JS CAFE Cheese & Onion Topped Toastie x 4,11/12/2021,,1132
137,,27785,Sainsbury's Café,JS CAFE Ham & Cheese Topped Toastie x 4,11/12/2021,,1216
138,,27786,Sainsbury's Café,JS CAFE Chicken & Bacon Topped Toastie x 4,11/12/2021,,
139,,27787,Sainsbury's Café,JS CAFE Tomato & Mozarella Panini x 4,11/12/2021,,
140,,27788,Sainsbury's Café,JS CAFE Tuna Cheese Melt Panini x 4,11/12/2021,,812
141,,27789,Sainsbury's Café,JS CAFE Kids Cheese Sandwich x 4,11/12/2021,,756
142,,27790,Sainsbury's Café,JS CAFE Kids Ham Sandwich x 4,11/12/2021,,768
143,,27791,Sainsbury's Café,JS CAFE Egg & Cress Sandwich x 2,11/12/2021,,472
144,,27792,Sainsbury's Café,JS CAFE Prawn Mayonnaise Sandwich x 2,11/12/2021,,442
145,,27793,Sainsbury's Café,JS CAFE Chicken & Bacon Sandwich x 2,11/12/2021,,
146,,27794,Sainsbury's Café,JS CAFE Cheese Ploughmans x 2,11/12/2021,,
147,,28103,Sainsbury's Café,JS CAFE Pig Under Blankets Toastie,11/12/2021,,
148,,28104,Sainsbury's Café,JS CAFÉ Rudolph's Christmas Feast,11/12/2021,,544
149,,28105,Sainsbury's Café,JS CAFÉ Turkey Feast Sandwich Stack,11/12/2021,,456
150,,28106,Sainsbury's Café,JS CAFÉ Cheese & Chutney Toastie,11/12/2021,,960
151,,28107,Sainsbury's Café,JS CAFÉ Turkey Trimmings Panini,11/12/2021,,940
152,,28108,Sainsbury's Café,JS CAFÉ Brie & Cranberry Panini,11/12/2021,,896
153,,28182,Sainsbury's Café,JS CAFÉ Cheese & Tomato Pizza,11/12/2021,,
154,3700,27201,GDTS MCCOLLS,McColl's Southern Fried Chicken Wrap,11/12/2021,,
155,3706,27202,GDTS MCCOLLS,McColl's Chicken & Bacon Caesar Wrap,11/12/2021,,
156,3703,27205,GDTS MCCOLLS,McColl's FALAFEL & HOUMOUS WRAP,11/12/2021,,
157,,28139,GDTS MCCOLLS,MC XMAS CHEESE BOARD WEDGE,11/12/2021,,
158,,28140,GDTS MCCOLLS,MC XMAS TURKEY LUNCH WEDGE,11/12/2021,,
159,,28141,GDTS MCCOLLS,MC XMAS PIGS UNDER BLANKETS WEDGE,11/12/2021,,
160,,27410,WAITROSE,WR Shakshuka Eggs Flatbread x 4,11/12/2021,,
161,,27411,WAITROSE,WR Spiced Roasted Aubergine Flatbread x 4,11/12/2021,,
162,,,,,12/12/2021,12/12/2021,11/12/2021
163,9518832,20371,Asda,AS Chicken Fajita Triple Wrap x4,12/12/2021,,2632
164,50193482,22592,Asda,AS Chicken & Bacon Skillet x 8,12/12/2021,,6232
165,50243954,22708,Asda,AS Chicken Bacon Caesar Triple Wrap x 8,12/12/2021,,5360
166,50535479,23870,Asda,AS Chicken Fajita Wrap x4,12/12/2021,,1256
167,50535476,23871,Asda,AS Chicken Bacon Caesar Wrap x 6,12/12/2021,,4620
168,50779457,24806,Asda Café,ASC Tuna Melt Panini x4,12/12/2021,,
169,50779460,24809,Asda Café,ASC Cheese & Tomato Toastie x4,12/12/2021,,
170,50779461,24810,Asda Café,ASC Ham & Cheese Toastie x4,12/12/2021,,
171,50779462,24811,Asda Café,ASC ADB Topped Toastie x4,12/12/2021,,
172,50773032,24821,Asda Café,ASC Cheeseboard Toastie,12/12/2021,,
173,50027363,26311,Asda Café,ASC Turkey Feast Toastie,12/12/2021,,
174,6250,19488,Co-op,Co-op Chicken & Bacon Caesar Wrap,12/12/2021,,10433
175,6251,19489,Co-op,Co-op Aromatic Duck Wrap,12/12/2021,,2734
176,6252,19490,Co-op,Co-op Southern Fried Chicken Wrap,12/12/2021,,9057
177,6253,19491,Co-op,Co-op Falafel Wrap,12/12/2021,,2088
178,6747,27443,Co-op,COOP HAM & CHEESE SUB ROLL,12/12/2021,,5197
179,6748,27445,Co-op,COOP TUNA CRUNCH SUB ROLL,12/12/2021,,2695
180,4458,17104,Co-op,Co-op Southern Fried Chicken Wrap x4,12/12/2021,,992
181,4448,17105,Co-op,Co-op Chicken & Bacon Caesar Wrap x4,12/12/2021,,1180
182,4413,19743,Co-op,Co-op Falafel Wrap x 4,12/12/2021,,408
183,4447,19783,Co-op,Co-op Aromatic Duck Wrap x4,12/12/2021,,452
184,,27444,Co-op,COOP HAM & CHEESE SUB ROLL x 4,12/12/2021,,72
185,,27446,Co-op,COOP TUNA CRUNCH SUB ROLL x 4,12/12/2021,,40
186,,17791,Co-op,COOP TI NEW YORK DELI GRAB BAG x4,12/12/2021,,
187,,20161,Co-op,COOP HAM & MUSTARD x4,12/12/2021,,
188,6390,22341,Co-op,CO-OP HAM & CHEESE PANINI,12/12/2021,,
189,6393,22844,Co-op,CO-OP All Day Breakfast Hot Wrap,12/12/2021,,
190,6338,25007,Co-op,Co-op Sausage & Egg Breakfast Muffin,12/12/2021,,
191,,19463,Co-op,COOP HAM & CHEESE,12/12/2021,,
192,6402,19506,Co-op,COOP TI NEW YORK DELI GRAB BAG,12/12/2021,,
193,6058,20130,Co-op,COOP HAM & MUSTARD,12/12/2021,,
194,4542167,27801,Morrisons,WM Southern Fried Chicken Wrap x8,12/12/2021,,6384
195,4547196,18258,Morrisons,WM Aromatic Duck Wrap x4,12/12/2021,,2304
196,4542173,27806,Morrisons,WM Chicken & Bacon Caesar Wrap x12,12/12/2021,,8184
197,4542164,27807,Morrisons,WM Sweet Chilli Chicken Wrap x6,12/12/2021,,
198,4540498,23988,Morrisons,WM Falafel & Spiced Houmous Wrap x4,12/12/2021,,1396
199,4540498,24993,Morrisons,WM Mexican Style 3 Bean Wrap x4,12/12/2021,,1252
200,,26156,Morrisons,WM Counted Med Tuna Wrap,12/12/2021,,1172
201,4540491,27436,Morrisons,WM Greek Chicken Wrap,12/12/2021,,1372
202,4540492,27437,Morrisons,WM Korean Beef Wrap,12/12/2021,,2000
203,4542180,28002,Morrisons,WMM Cheeseboard Skillet,12/12/2021,,1500
204,4542181,28003,Morrisons,WMM Turkey Curry Wrap,12/12/2021,,1672
205,4542182,28004,Morrisons,WMM Vegan Feast Skillet,12/12/2021,,1204
206,4542183,28005,Morrisons,WMM Pigs Under Blankets Skillet,12/12/2021,,2636
207,4542184,28006,Morrisons,WMM Turkey Lunch Wedge Skillet,12/12/2021,,10068
208,1855,21612,Morrisons PFS,WM DTS Southern Fried Chicken Wrap,12/12/2021,,
209,1780,22865,Morrisons PFS,WM DTS Chicken & Bacon Caesar Wrap ,12/12/2021,,5038
210,1770,24342,Morrisons PFS,WM DTS Sweet Chilli Chicken Wrap,12/12/2021,,
211,,28136,Morrisons PFS,WMM DTS Pigs Under Blankets Skillet,12/12/2021,,1327
212,,28137,Morrisons PFS,WMM DTS Cheeseboard Skillet,12/12/2021,,762
213,,28138,Morrisons PFS,WMM DTS Turkey Lunch Wedge Skillet,12/12/2021,,1976
214,4549979,22864,Morrisons,WM 16 PIECE WRAP PLATTER x 1,12/12/2021,,100
215,4548306,24886,Morrisons,WM Vegetarian Sandwich Platter,12/12/2021,,123
216,4548303,24887,Morrisons,WM Meat Sandwich Platter,12/12/2021,,216
217,4549090,24890,Morrisons,WM Classic Sandwich Platter ,12/12/2021,,424
218,4548302,24891,Morrisons,WM Party Classic Sandwich Platter ,12/12/2021,,
219,4548305,24888,Morrisons,WM Vegetarian Wraps Platter,12/12/2021,,
220,4548301,24889,Morrisons,WM The Best Sandwich Platter,12/12/2021,,
221,4540434,18257,Morrisons,WM Southern Fried Chicken Wrap x4,12/12/2021,,
222,4540433,19799,Morrisons,WM Chicken Fajita Wrap x4,12/12/2021,,
223,4540448,20119,Morrisons,WM Chicken & Bacon Caesar Wrap x4,12/12/2021,,
224,,21855,Morrisons,WM Sweet Chilli Chicken Wrap x4,12/12/2021,,
225,,23768,Morrisons Café,MRS Egg & Cress Crisps Pack x 2 ,12/12/2021,,
226,,23770,Morrisons Café,MRS Just Ham Crisps Pack x 2,12/12/2021,,
227,,23773,Morrisons Café,MRS Salmon & Cucumber Crisps Pack x 2,12/12/2021,,
228,7799572,21914,Sainsbury's,JS Seafood Cocktail Skillet x 4,12/12/2021,,1896
229,7797696,21936,Sainsbury's,JS BGTY Tuna & Cucumber Skillet x 4,12/12/2021,,1856
230,7798199,21970,Sainsbury's,JS New Yorker Grab Bag,12/12/2021,,1540
231,7799556,21951,Sainsbury's,"JS Chicken, Bacon & Caesar Wrap x 4",12/12/2021,,11132
232,7799565,21952,Sainsbury's,JS Duck & Hoisin Wrap x 4,12/12/2021,,5540
233,7798446,21953,Sainsbury's,JS Southern Fried Chicken Wrap x4,12/12/2021,,10360
234,7798442,21954,Sainsbury's,JS Falafel & Houmous Wrap x 4,12/12/2021,,3244
235,7798436,21955,Sainsbury's,"JS Mozzarella, Tomato and Pesto Wrap x 4",12/12/2021,,5016
236,7798864,22312,Sainsbury's,JS Chicken & Maple Cured Bacon Skillet x 6,12/12/2021,,
237,7847033,22468,Sainsbury's,"JS Brie, Bacon & Chilli Chutney Skillet x4",12/12/2021,,
238,7849630,22469,Sainsbury's,"JS Avocado, Tomato & Basil Skillet x4",12/12/2021,,
239,7847035,22472,Sainsbury's,JS Chicken Fajita Triple Wrap x4,12/12/2021,,2988
240,7958341,24077,Sainsbury's,JS Greek Chicken & Tzatziki Premium Wrap X4,12/12/2021,,1524
241,7980040,24648,Sainsbury's,JS Steak & Caramelised Red Onion Grab Bag,12/12/2021,,1860
242,7991425,24955,Sainsbury's,JS Vegan Mexican Bean Wrap,12/12/2021,,1416
243,,25543,Sainsbury's,JS Harissa Chicken Wrap,12/12/2021,,2968
244,,25544,Sainsbury's,JS Vegan Onion Bhaji Sandwich,12/12/2021,,
245,,25545,Sainsbury's,JS Katsu Chicken Sandwich ,12/12/2021,,
246,8018816,25608,Sainsbury's,JS Halloumi Roast Vegetable Wrap,12/12/2021,,624
247,7798851,26002,Sainsbury's,JS Chicken Salad Skillet x 4,12/12/2021,,12892
248,8046570,26981,Sainsbury's,JS Tuna Crunch Sub Roll ,12/12/2021,,
249,8046550,26983,Sainsbury's,JS Chicken and Bacon Sub Roll ,12/12/2021,,
250,8046562,26984,Sainsbury's,JS Ham and Cheese Sub Roll ,12/12/2021,,4524
251,,27330,Sainsbury's,JS Salt Beef & Mustard Focaccia,12/12/2021,,792
252,,22288,Sainsbury's,JS Brie & Cranberry Skillet,12/12/2021,,3216
253,,28009,Sainsbury's,JS HTE Egg & Cheese Muffin,12/12/2021,,536
254,,28010,Sainsbury's,JS HTE Meatball Marinara Wrap,12/12/2021,,404
255,,28011,Sainsbury's,JS HTE Ham & Cheese Toastie,12/12/2021,,776
256,,28111,Sainsbury's,JS Boxing Day Sub Roll,12/12/2021,,1164
257,,28112,Sainsbury's,JS Rudolph's Christmas Feast,12/12/2021,,172
258,,28113,Sainsbury's,JS Beef Wellington Special,12/12/2021,,696
259,,28375,Sainsbury's,JS Christmas Platter,12/12/2021,,199
260,,22883,Sainsbury's,JS Wrap Platter x1,12/12/2021,,
261,,23956,Sainsbury's,JS Classic Sandwich Platter x1,12/12/2021,,402
262,,22882,Sainsbury's,JS Meat Sandwich Platter x1,12/12/2021,,
263,,23954,Sainsbury's,JS Vegetarian Sandwich Platter x1,12/12/2021,,200
264,8530,27728,Sainsbury's,"JS PF Chicken, Bacon & Caesar Wrap x 1",12/12/2021,,30
265,8581,27727,Sainsbury's PFS,"JS PFS Mozzarella, Tomato and Pesto Wrap x 1",12/12/2021,,30
266,8531,27729,Sainsbury's PFS,JS PFS Duck & Hoisin Wrap x 1,12/12/2021,,30
267,8534,27730,Sainsbury's PFS,JS PFS Southern Fried Chicken Wrap x1,12/12/2021,,30
268,9935,27133,Sainsbury's PFS,JS PFS Seafood Cocktail Skillet x 1,12/12/2021,,
269,,27921,Sainsbury's PFS,JS PFS Chicken and Bacon Sub Roll ,12/12/2021,,
270,,27924,Sainsbury's PFS,JS PFS Korean Chicken Sandwich,12/12/2021,,
271,,27933,Sainsbury's PFS,JS PFS TUNA & CUCUMBER SUB,12/12/2021,,
272,,27934,Sainsbury's PFS,JS PFS Ham And Cheese Sub Roll,12/12/2021,,
273,,27935,Sainsbury's PFS,JS PFS Sweet Chilli Chicken Wrap,12/12/2021,,
274,,27937,Sainsbury's PFS,JS PFS TTD Eggs Hollandaise with Avocado,12/12/2021,,
275,,27938,Sainsbury's PFS,"JS PFS Brie, Bacon & Chilli Chutney Skillet",12/12/2021,,
276,,27939,Sainsbury's PFS,JS PFS greek style chicken & tzatziki wrap,12/12/2021,,24
277,,27946,Sainsbury's PFS,JS PFS Steak & caramelised onion sandwich,12/12/2021,,24
278,9929,27131,Sainsbury's PFS,JS PFS Chicken Salad Skillet x 1,12/12/2021,,541
279,,27179,Sainsbury's PFS,JS PFS Chicken & Maple Cured Bacon Skillet x 1,12/12/2021,,
280,,27109,Sainsbury's PFS,JS PFS Brie & Cranberry Skillet,12/12/2021,,535
281,,28474,Sainsbury's,JS PF BOXING DAY LEFTOVER SUB,12/12/2021,,
282,,28475,Sainsbury's,JS PF RUDOLPHS CARROT & VEG ST,12/12/2021,,
283,,27331,Sainsbury's,JS Indian Inspired Chickpea Flatbread,12/12/2021,,
284,,27332,Sainsbury's,JS Middle Eastern Lamb Kofta Flatbread  ,12/12/2021,,
285,,28100,Sainsbury's,JS Hell's Spicy Chicken Roll,12/12/2021,,
286,7980037,24649,Sainsbury's,JS Ham Hock & Mature Cheddar Grab Bag,12/12/2021,,
287,,23955,Sainsbury's,JS Seafood Platter x1,12/12/2021,,
288,7972085,24770,Sainsbury's,JS Party Sandwich Platter,12/12/2021,,
289,7972091,24480,Sainsbury's,JS Premium Sandwich Platter,12/12/2021,,
290,3277,22186,Sainsbury's PFS,JS DTS Southern Fried Chicken Wrap x 1,12/12/2021,,
291,3278,22187,Sainsbury's PFS,"JS DTS Ham & Egg Sub Roll 10"" x 1",12/12/2021,,
292,3292,23990,Sainsbury's PFS,JS DTS Chicken Salad Skillet x 1,12/12/2021,,
293,3294,23992,Sainsbury's PFS,JS DTS Seafood Cocktail Skillet x 1,12/12/2021,,
294,7799572,23686,Sainsbury's,JS Seafood Cocktail Skillet x 8,12/12/2021,,
295,,27781,Sainsbury's Café,JS CAFE Bacon Bap x 4          ,12/12/2021,,1628
296,,27782,Sainsbury's Café,JS CAFE Sausage Bap x 4,12/12/2021,,1324
297,,27783,Sainsbury's Café,JS CAFE Egg Florentine x 4,12/12/2021,,604
298,,27784,Sainsbury's Café,JS CAFE Cheese & Onion Topped Toastie x 4,12/12/2021,,1292
299,,27785,Sainsbury's Café,JS CAFE Ham & Cheese Topped Toastie x 4,12/12/2021,,1384
300,,27786,Sainsbury's Café,JS CAFE Chicken & Bacon Topped Toastie x 4,12/12/2021,,
301,,27787,Sainsbury's Café,JS CAFE Tomato & Mozarella Panini x 4,12/12/2021,,
302,,27788,Sainsbury's Café,JS CAFE Tuna Cheese Melt Panini x 4,12/12/2021,,896
303,,27789,Sainsbury's Café,JS CAFE Kids Cheese Sandwich x 4,12/12/2021,,796
304,,27790,Sainsbury's Café,JS CAFE Kids Ham Sandwich x 4,12/12/2021,,804
305,,27791,Sainsbury's Café,JS CAFE Egg & Cress Sandwich x 2,12/12/2021,,562
306,,27792,Sainsbury's Café,JS CAFE Prawn Mayonnaise Sandwich x 2,12/12/2021,,530
307,,27793,Sainsbury's Café,JS CAFE Chicken & Bacon Sandwich x 2,12/12/2021,,
308,,27794,Sainsbury's Café,JS CAFE Cheese Ploughmans x 2,12/12/2021,,
309,,28103,Sainsbury's Café,JS CAFE Pig Under Blankets Toastie,12/12/2021,,
