Week no.,WK 27,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,30/03/19,,31/03/19,,01/04/19,,02/04/19,,03/04/19,,04/04/19,,05/04/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,30/03/19,31/03/19,01/04/19,02/04/19,03/04/19,04/04/19,05/04/19,,05/04/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,30/03/19,31/03/19,01/04/19,02/04/19,03/04/19,04/04/19,05/04/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23758,Asda Café,ASC Cheese & Tomato Toastie x2,Asda,P+7,Alternative,400,292,440,238,400,248,280,166,400,442,400,372,420,482,,,,2756,2240,2633,1120,292,238,248,166,442,372,482,,482,,,,,MISSING,MISSING,,2,146,119,124,83,221,186,241,1120,OK
,23759,Asda Café,ASC BLT Stack x4,Asda,P+4,Alternative,320,268,350,188,320,236,250,208,380,416,350,300,350,368,,,,2312,1984,2286,496,268,188,236,208,416,300,368,,368,,,,,MISSING,MISSING,,4,67,47,59,52,104,75,92,496,OK
,23760,Asda Café,ASC ADB Topped Toastie x2,Asda,P+7,Alternative,200,188,220,104,190,136,150,104,210,248,220,212,220,240,,,,1434,1232,1366,616,188,104,136,104,248,212,240,,240,,,,,MISSING,MISSING,,2,94,52,68,52,124,106,120,616,OK
,23761,Asda Café,ASC Tuna Melt Panini x2,Asda,P+7,Alternative,420,328,480,276,430,296,300,206,450,512,450,428,450,550,,,,3034,2596,2975,1298,328,276,296,206,512,428,550,,550,,,,,MISSING,MISSING,,2,164,138,148,103,256,214,275,1298,OK
,23762,Asda Café,ASC Mozzarella & Pesto Panini x2,Asda,P+7,Alternative,350,294,400,218,330,244,250,178,400,426,410,360,380,436,,,,2506,2156,2614,1078,294,218,244,178,426,360,436,,436,,,,,MISSING,MISSING,,2,147,109,122,89,213,180,218,1078,OK
,23763,Asda Café,ASC Chicken & Chorizo Panini x2,Asda,P+7,Alternative,420,330,450,232,420,268,300,182,440,494,480,432,420,502,,,,2962,2440,2768,1220,330,232,268,182,494,432,502,,502,,,,,MISSING,MISSING,,2,165,116,134,91,247,216,251,1220,OK
,23764,Asda Café,ASC Cheese & Ham Panini x2,Asda,P+7,Alternative,520,404,550,312,520,358,360,256,550,598,600,524,550,660,,,,3638,3112,3588,1556,404,312,358,256,598,524,660,,660,,,,,MISSING,MISSING,,2,202,156,179,128,299,262,330,1556,OK
DEPOT 07/04,24051,Asda Café,ASC Chicken Fajita Hot Wrap,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,6,0,0,0,0,0,0,0,0,OK
DEPOT 07/04,24052,Asda Café,ASC Meatball Hot Wrap,Asda,P+7,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,MISSING,MISSING,MISSING,MISSING,,6,0,0,0,0,0,0,0,0,OK
,23362,Asda,AS Pulled Pork Sub Roll x4,Asda,P+3,Alternative,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,MISSING,MISSING,,4,0,0,0,0,0,0,0,0,OK
