2019,9,0.64,0.6,5.06,1.19,0.47,1.08,0.05,3.97,4.11,1.5,0.52,1.02,0,0.09,2.44,0.22,0,0,0.01,0.01,3.72,4.9,17.11,15.42,6.75,3.54,7.62,20.74,4,17.26,x
2019,10,5.2,0.02,7.84,1.67,15.18,4.9,1.87,3.52,2.22,6.23,8.01,10.61,4.96,8.92,3.11,1.11,9.63,4.99,1.46,1.92,0.43,0.06,0.87,5.35,21.47,7,0.07,0.78,1.03,2.64,5.75
2019,11,8.23,10.11,4.56,5.38,1.52,12.19,5.42,2.11,8.12,7.68,2.28,2.41,11.11,8.43,3.68,1.94,0.94,0.08,0.85,0.29,5.22,5.72,4.94,1.7,5.16,7.42,6.84,3.15,0.2,0.42,x
2019,12,0.09,0.18,0.03,0.27,5.26,2.73,5.74,3.49,0.84,7.69,3.81,14.27,4.53,8.01,5.55,3.55,1.37,11.5,13.97,8.91,5.92,1.52,2.9,1.28,0.81,6.49,0.44,0.01,0.04,0.12,0.1
2020,1,0.22,3.94,0.16,0.34,0.17,2.11,0.94,10.74,5.16,0.29,7.33,1.17,7.71,13.77,0.9,8.24,1.55,0.07,0.1,0.05,0.25,0.28,0.22,0.12,0.83,5.91,5.72,0.83,0.71,0.87,1.83
2020,2,7.7,1.08,1.73,0.06,0.01,0.2,1.41,10.15,13.32,5.43,1.33,12.54,1.89,4.26,27.65,8.31,1.16,3.55,4.65,4.95,4.9,7.8,8.15,4.67,3.08,6.78,2.74,16.31,3.67,x,x
2020,3,3.35,0.66,0.71,4.92,5.99,0.41,4.67,1.64,10.04,1.6,3.86,1.46,3.57,4.47,2.51,0.56,2.85,2.64,0.58,0.12,0,0,0,0,0,0.02,0.03,0.25,0.27,0.67,0.02
2020,4,0.05,0.15,0.11,0,1.22,0.12,0,0.02,0,0.11,0.06,0.85,0,0,0,0.89,7.22,0.53,0,0.08,0,0,0,0,0.01,0.21,5.74,6.97,6.71,6.14,x
2020,5,1.92,0.31,1.1,0.98,0.17,0.09,0.06,0.06,1.44,0.36,0.1,0.21,0.05,0,0,0.02,0.23,0.53,0.02,0.1,1.76,0.38,0.44,0,0,0,0,0,0,0,0
2020,6,0,3.14,1.64,3.08,4.01,4.98,1.08,0.28,1.33,10.18,5.55,4.82,1.35,0.96,2.1,4.17,12.39,12.22,2.02,5.04,0.69,0.23,0.01,0,1.2,4.19,5.77,2.87,1.19,1.81,x
2020,7,3.17,2.38,5.17,1.52,1.12,0.32,7.86,8.58,3,1.23,0.07,0.22,3.49,0.71,0.28,0.01,1.11,4.56,0.24,0.09,0.07,1.6,1.39,2.18,8.07,5.17,3.56,0.05,0.66,0.19,0.96
2020,8,0.56,0.67,0.61,2.11,1.21,0.11,0.04,0.02,0.18,3.16,0.58,4.47,5.33,1.27,5.84,11.22,6.23,6.76,9.4,2.85,2.55,2.01,3.73,17.83,7.6,1.13,18.95,7.59,1.18,0,0
2020,9,0.04,7.63,0.89,0.56,0.6,1.39,0.85,0.66,0.03,0.02,0.73,0.13,0.05,0.02,0.16,0,0.01,0,0.15,0.03,0,5.48,9.02,9.35,2.59,0.29,0.07,2.52,1.49,11.36,x
2020,10,7.37,20.1,28.76,6.75,4.78,3.28,10.63,1.22,2.11,2.99,0.89,6.09,3.51,1.25,0.65,0.31,0.36,0.07,2.43,6.66,6.19,1.91,1.58,13.97,3.57,2.22,4.57,4.41,5.12,3.55,6.76
2020,11,7.02,6.79,1.16,0.11,0.14,0.07,0.86,2.14,3.83,0.29,5.52,2.37,2.02,13.41,4.16,2,0.65,2.73,1.12,2.31,1.21,0.34,0.65,2.37,0.78,0.23,1.23,0.58,0.5,1.26,x
2020,12,0.11,4.35,16.76,10.05,3.03,0.55,1.8,4.02,3.03,8.15,2.99,3.63,10.92,2.97,3.36,4.95,3.9,9.25,4.72,4.67,7.03,4.53,14.01,1.16,0.51,17.95,3.07,3.53,1.9,0.99,1.35
2021,1,1.28,3.23,1.73,1.45,2.36,0.58,1.85,0.4,0.12,0.15,7.83,2.75,14.92,4.81,9.22,1.64,0.31,8.3,13.53,16.52,0.88,1.91,2.33,1.89,1.04,4.01,17.12,10.29,8.81,2.32,2.38
